LigandID,pIC50,canonical_smiles,ATSC4c,ATSC7i,GATS4d,SdCH2,SdssC,BIC4,SMR_VSA4,n7Ring,n7HRing,nG12FARing
CHEMBL4062587,4.52,CCc1noc(-c2ccc(C(=O)c3ccccc3)s2)n1,-0.003856854,-25.44868033,1.15327381,0,0.011185463,0.888098639,0,0,0,0
CHEMBL3806129,4.51,COc1ccc(N/C=C\C(=O)c2cn(-c3ccccc3)nc2-c2ccc(Cl)cc2)cc1,0.037253609,-2.043549558,0.969340165,0,-0.159127037,0.919734623,0,0,0,0
CHEMBL4171136,4.19,O=[N+]([O-])c1ccc(-n2nnnc2Nn2cnnc2)cc1,-0.123932299,0.224395694,0.969982847,0,0,0.912742119,0,0,0,0
CHEMBL4528961,5.05,CC(=O)c1c(O)ccc2oc(-c3ccccc3C)nc12,0.288592268,-13.55776998,1.153225806,0,-0.238209614,0.876518072,0,0,0,0
CHEMBL1079485,5.37,COc1c(Cl)c(C)c2c(c1Cl)OC(=O)c1c(cc(O)c(Cl)c1C)O2,0.512191174,3.216257448,1.189189189,0,-0.714050454,0.864874141,0,1,1,1
CHEMBL4777509,3.97,COc1ccc(Nc2nnnn2-c2cccc(Br)c2)cc1,-0.043102136,21.80829957,0.966442953,0,0,0.903071789,0,0,0,0
CHEMBL4174601,5,Cc1cc(S(=O)(=O)/N=C(\N)n2nccc2-c2ccccc2)c(SCc2cccc(Cl)c2)cc1Cl,0.283283603,-30.49086894,1.189099796,0,-0.261808042,0.903406727,10.13137847,0,0,0
CHEMBL3633644,5,COc1ccc(CNC(=O)CC2c3cccc(O)c3C(=O)c3c(O)cccc32)c(OC)c1,0.828555449,-12.46891918,1.213754516,0,-0.697561868,0.822888828,0,0,0,1
CHEMBL4751750,3.87,COc1ccc(-n2nnnc2Nc2ccccc2Cl)cc1,-0.166904735,21.48178973,0.939597315,0,0,0.903071789,0,0,0,0
CHEMBL1079645,5,COc1c(Cl)c(C)c2c(c1Cl)OC(=O)c1c(C)c(Cl)c(O)c(Cl)c1O2,0.372941016,1.570163678,1.168819188,0,-0.790994898,0.864874141,0,1,1,1
CHEMBL3805548,4.3,COc1ccc(N/C=C\C(=O)c2cn(-c3ccccc3)nc2-c2cc(OC)c(OC)c(OC)c2)cc1,0.143130518,17.04189641,1.189448441,0,-0.220421732,0.839881673,0,0,0,0
CHEMBL4061581,4.12,CN(/N=N/c1ccc(Br)cc1)C(=O)CCCCc1ccc(O)cc1,-0.053075815,-11.97083847,0.839822448,0,-0.054103888,0.902517389,10.33750304,0,0,0
CHEMBL4070492,7.8,COc1cc2c(c(OC)c1OC)-c1cc3cc(CO)oc3cc1C(O)CC2,0.063706235,-17.5637229,1.447991086,0,0,0.834663892,0,1,0,1
CHEMBL4793209,4,COc1ccc(Nc2nnnn2-c2ccccc2Cl)cc1,-0.145695786,22.82131145,1.006711409,0,0,0.903071789,0,0,0,0
CHEMBL4074782,4.19,Cc1ccccc1-c1nnc(Cc2nc3ccccc3[nH]2)o1,0.475782514,-16.69016129,1.146353646,0,0,0.892090007,0,0,0,0
CHEMBL4761555,8.52,COC(=O)c1ccc2c(c1)[C@@H](NC(=O)COC(=O)C=C(C)C)CCc1cc(OC)c(OC)c(OC)c1-2,-0.003864485,-20.60109735,1.363526906,0,-0.775905162,0.827823483,0,1,0,1
CHEMBL4064707,4.7,NS(=O)(=O)c1cc(-c2nnc(/C=C/c3ccccc3)o2)c(Cl)cc1SCc1ccccc1,0.036402431,1.802734166,0.895615669,0,0,0.904018391,5.138973738,0,0,0
CHEMBL4086557,4.52,O=C(/C=C/c1cc2c(s1)C(=O)c1ccccc1C2=O)c1ccccc1,-0.091252574,-6.322213665,1.187377429,0,-0.395710259,0.872359858,0,0,0,1
CHEMBL4170039,4.74,Cc1cc(-c2ccccc2)n(/C(N)=N/S(=O)(=O)c2cc(C)c(Cl)cc2SCc2ccc(C(F)(F)F)cc2)n1,0.275278272,-34.48241326,1.086854507,0,-0.344217051,0.888676546,10.13137847,0,0,0
CHEMBL4562297,5.97,CC(C)(C)NC(=O)C(c1ccc(F)cc1)N(C(=O)/C=C/C(=O)c1ccc(F)cc1)C1CC1,-0.324216591,-31.56371803,1.041653825,0,-1.337465448,0.845232138,0,0,0,0
CHEMBL4278792,4.43,CC(=O)N[C@H]1[C@H](O[C@H]2CC[C@]3(C)[C@H]4CC=C5[C@@H]6CC(C)(C)CC[C@]6(C(=O)OCc6cn(-c7cccc(C(C)=O)c7)nn6)CC[C@@]5(C)[C@]4(C)CC[C@H]3C2(C)C)O[C@H](CO[C@@H]2OC[C@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H]1O,-0.865323707,-46.98268797,1.117274913,0,0.809159531,0.899881092,50.24366095,0,0,1
CHEMBL4786968,7.8,COC(=O)c1ccc2c(c1)[C@@H](NC(=O)COC(=O)/C=C/C(F)(F)F)CCc1cc(OC)c(OC)c(OC)c1-2,-0.653284232,-16.69105756,1.340857099,0,-2.651557527,0.850184169,0,1,0,1
CHEMBL4747525,3.9,COc1ccc(-n2nnnc2Nc2cccc(F)c2)cc1,0.071320854,27.48312415,0.966442953,0,0,0.903071789,0,0,0,0
CHEMBL4746379,3.99,COc1ccc(Nc2nnnn2-c2cccc(Cl)c2)cc1,-0.033664706,21.34638045,0.966442953,0,0,0.903071789,0,0,0,0
CHEMBL3633637,5.72,O=C(O)CC1c2cccc(O)c2C(=O)c2c(O)cccc21,0.493787568,-0.53253688,1.292191436,0,-1.503913454,0.795597264,0,0,0,1
CHEMBL3805698,4.67,O=C(/C=C\Nc1ccc(Cl)cc1)c1cn(-c2ccccc2)nc1-c1ccc(F)cc1,0.118490292,-10.17459176,0.984661429,0,-0.224102174,0.929283708,0,0,0,0
